日期,摄像头编号,采集地点,当日采集任务,采集时长
2026/2/14,58-63be,丰县,电池安装,2.6
2026/2/14,55-4aa8,丰县,用抹布擦拭碗盘,5.0
2026年2月14日,14-1ec0,济宁,叠衣服,2.12
2026年2月14日,39-d877,济宁,用抹布擦拭碗盘,5.01
2026年2月14日,67-f20e,济宁,整理文件,5.01
2026年2月14日,50-1af8,河南,药箱收纳,2.02
2026年2月14日,59-2f59,河南,分拣豆子,6.06
2026/2/15,104-3fff,丰县,收拾桌面,5.1
2026年2月15日,50-1af8,河南,分拣豆子,5.05
2026年2月15日,67-f20e,济宁,擦拭桌面小摆件,5.02
2026年2月15日,39-d877,济宁,穿鞋带,5.07
2026/2/15,97-98a7,丰县,电池安装,1.7
2026/2/15,19-c192,丰县,整理零食、调料或玩具,1.0
2026年2月15日,102-4f53,河南,折叠购物袋,4.24
2026/2/15,101-6ea2,丰县,电池安装,5.1
2026/2/15,55-4aa8,丰县,整理洗漱用品,4.46
2026/2/15,25-7088,丰县,用抹布擦拭碗盘,5.1
2026年2月15日,14-1ec0,济宁,书本收纳,5.07
2026/2/15,22-2d1c,丰县,穿鞋带,2.7
2026年2月16日,110-082c,河南,整理洗漱用品,5.03
2026年2月16日,67-f20e,济宁,叠衣服,5.06
2026年2月16日,14-1ec0,济宁,擦拭桌面小摆件,5.07
2026/2/16,104-3fff,丰县,整理碗筷,3.4
2026/2/16,55-4aa8,丰县,整理洗漱用品,0.8
2026/2/18,25-7088,丰县,电池安装,5.2
2026/2/18,58-63be,丰县,整理零食、调料或玩具,1.09
2026/2/18,101-6ea2,丰县,收拾桌面,5.18
2026年2月18日,50-1af8,河南,电池安装,3.49
2026年2月18日,102-4f53,河南,整理洗漱用品,5.1
2026年2月18日,110-082c,河南,整理洗漱用品,5.05
2026年2月18日,14-1ec0,济宁,整理零食、调料或玩具,5.12
2026年2月18日,67-f20e,济宁,穿鞋带,5.06
2026年2月18日,39-d877,济宁,擦拭桌面小摆件,5.24
2026/2/19,101-6ea2,丰县,整理碗筷,5.45
2026/2/19,104-3fff,丰县,整理文件,5.0
2026/2/19,104-3fff,丰县,整理碗筷,2.0
2026年2月19日,39-d877,济宁,折叠购物袋,5.08
2026年2月19日,67-f20e,济宁,整理零食、调料或玩具,5.07
2026年2月19日,14-1ec0,济宁,穿鞋带,5.11
2026年2月19日,110-082c,河南,用抹布擦拭碗盘,7.06
2026年2月19日,102-4f53,河南,分拣乐高 / 积木零件,5.15
