采集地点,任务描述,日报截屏上送总时长（小时）,原始上送总时长（小时）,运营端不合格总时长（小时）,算法端可接受总时长（小时）,记录数量,合格率
济宁,擦拭桌面小摆件,25.47,28.83,2.63,20.939999999999998,6,90.88%
济宁,用抹布擦拭碗盘,22.77,28.54,6.26,10.13,7,78.07%
济宁,整理名片/会员卡/银行卡,20.33,25.630000000000003,5.41,9.03,5,78.89%
济宁,书本收纳,20.82,25.18,9.47,11.22,5,62.39%
济宁,叠衣服,18.509999999999998,23.8,2.44,11.18,14,89.75%
济宁,分拣乐高/积木零件,22.73,23.41,0.93,16.97,5,96.03%
济宁,穿鞋带,20.4,23.11,3.09,16.810000000000002,6,86.63%
济宁,整理袜子,26.05,22.27,0.12,16.03,6,99.46%
济宁,电池安装,20.31,21.15,1.09,16.91,4,94.85%
济宁,分类坚果/豆子,15.13,20.08,4.49,12.3,4,77.64%
济宁,整理洗漱用品,10.14,19.19,2.41,7.0200000000000005,5,87.44%
济宁,折叠购物袋,20.25,19.17,0.04,19.13,4,99.79%
济宁,整理碗筷,15.14,17.39,2.73,12.99,3,84.3%
济宁,整理文件,21.79,16.43,2.82,8.32,5,82.84%
济宁,整理零食、调料或玩具,15.39,16.009999999999998,0.77,10.04,5,95.19%
济宁,Change the pillowcase,20.16,15.959999999999999,0.0,0.0,3,100.0%
济宁,Clean the phone,10.129999999999999,15.45,0.0,1.55,4,100.0%
济宁,Organize cosmetic samples,10.0,14.919999999999998,0.01,0.96,3,99.93%
济宁,分拣晾晒衣物夹子,10.17,12.65,0.0,0.6900000000000001,2,100.0%
济宁,收拾桌面,10.059999999999999,10.129999999999999,2.4,7.74,2,76.31%
济宁,Replace the garbage bag,10.09,9.280000000000001,0.09,3.72,2,99.03%
济宁,整理耳机线/数据线,10.16,7.38,0.37,2.05,2,94.99%
济宁,Fold and organize socks,5.04,6.300000000000001,0.03,2.6,3,99.52%
济宁,Organize the drawer,5.03,5.03,0.01,0.6,1,99.8%
济宁,Sort nuts/beans,0.0,4.47,0.0,0.0,1,100.0%
济宁,Organize earphones/data cables,0.0,3.57,0.0,0.0,1,100.0%
济宁,整理鞋柜,0.0,3.4,0.0,0.12,1,100.0%
济宁,Fold shopping bags,0.0,1.08,0.0,0.0,1,100.0%
深圳,整理碗筷,5.0,10.06,0.36000000000000004,9.7,2,96.42%
深圳,整理零食、调料或玩具,5.0,10.06,0.17,9.89,2,98.31%
深圳,整理鞋柜,5.0,10.03,0.1,9.93,2,99.0%
深圳,用抹布擦拭碗盘,5.0,10.02,0.02,10.0,2,99.8%
深圳,整理洗漱用品,10.0,10.01,0.21000000000000002,9.79,2,97.9%
深圳,整理袜子,0.0,5.27,0.0,2.66,1,100.0%
深圳,安装电池,0.0,5.06,0.12,4.94,1,97.63%
深圳,整理文档,0.0,5.01,0.01,5.0,1,99.8%
深圳,折叠购物袋,0.0,4.78,0.0,4.78,1,100.0%
深圳,叠衣服,0.0,0.16,0.03,0.11,2,81.25%
